com.samsung.shealth.rewards,6156001,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,,,,,2021-03-17 04:42:39.536,2020-04-15 10:46:54.468,,,LAST_SLEEP_CHECKING_TIME,,,F5JW66Upzd,com.sec.android.app.shealth,Sleep.Goal.Temp,2021-03-16 23:00:00.000,1cf82a93-20f7-4b82-abfb-04cfa30b422c,-10000,
,2020-04-12 22:00:00.000,,2399999,,2020-05-06 17:08:09.330,2020-04-15 10:47:02.553,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":7900}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-12 22:00:00.000,66c5ece3-af1d-44ce-8569-7d1b558fdcbd,1,
,2020-04-09 22:00:00.000,,100003,,2020-05-06 17:08:11.577,2020-04-15 10:47:01.426,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":9715}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-09 22:00:00.000,e4ead5d2-59a6-4144-8bb0-be337a417d65,1,
,2020-04-04 22:00:00.000,,2399999,,2020-05-02 19:50:14.348,2020-04-15 10:47:23.764,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":6839}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-04 22:00:00.000,ab9a94b1-a74a-4e60-bbe4-e4951f601db4,1,
,2020-03-27 23:00:00.000,,2399999,,2020-04-23 20:49:58.989,2020-04-15 10:47:23.467,,,tracker_pedometer_reward_target_achieved,UTC+0100,"{""mTarget"":6000,""mValue"":6000}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-03-27 23:00:00.000,6b3e337d-af77-4a53-8b1f-5d984601b12d,1,
,2020-04-01 22:00:00.000,,100003,,2020-04-15 10:47:24.717,2020-04-15 10:47:24.717,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":10154}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-01 22:00:00.000,dab46c33-e859-4dd1-9830-7d3e5ceba2c7,1,
,2020-04-06 22:00:00.000,,2399999,,2020-05-04 20:17:51.828,2020-04-15 10:47:23.899,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":6213}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-06 22:00:00.000,5bb77ad2-b6d8-4b0b-a13c-6529e19ebdec,1,
,2020-04-15 22:00:00.000,,2399999,,2020-05-13 19:36:59.011,2020-04-16 10:16:15.271,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":9950}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-15 22:00:00.000,308c1a6c-e856-48ab-bf55-1351352b019a,1,
,2020-03-28 23:00:00.000,,100003,,2020-04-25 20:03:00.930,2020-04-15 10:47:24.916,,,tracker_pedometer_reward_target_achieved,UTC+0100,"{""mTarget"":6000,""mValue"":6592}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-03-28 23:00:00.000,de5b9f63-fce0-42bf-89ca-36195c2bf19f,1,
,2020-04-17 09:29:56.049,,,,2020-04-19 10:19:08.540,2020-04-17 09:29:56.073,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":true,""mValue"":129,""mValue2"":60}",F5JW66Upzd,com.sec.android.app.shealth,goal.activity,2020-04-17 09:29:56.049,6f7efcef-d79b-4a42-9d1c-3d87d597ceb9,0,
