com.samsung.shealth.step_daily_trend,6156001,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
9be22ca8-45dc-43dc-ad68-a522c52c436d.binning_data.json,2020-04-15 10:47:01.616,2020-04-15 10:47:01.616,com.sec.android.app.shealth,-2,3265,1.3179083,2396.88,123.23,VfS0qUERdZ,com.sec.android.app.shealth,9be22ca8-45dc-43dc-ad68-a522c52c436d,1586304000000,
0b7c55e8-1c5e-482f-8f6f-3b01ba153e6c.binning_data.json,2020-04-15 10:47:24.196,2020-04-15 10:47:01.508,com.sec.android.app.shealth,-2,6213,1.3167691,4647.19,226.02,VfS0qUERdZ,com.sec.android.app.shealth,0b7c55e8-1c5e-482f-8f6f-3b01ba153e6c,1586217600000,
ae4b1751-f016-47b0-95b7-6f224f7d2021.binning_data.json,2020-04-15 10:47:01.631,2020-04-15 10:47:01.631,com.sec.android.app.shealth,-2,3264,1.3276987,2442.048,122.34,VfS0qUERdZ,com.sec.android.app.shealth,ae4b1751-f016-47b0-95b7-6f224f7d2021,1586563200000,
d800ff5f-725b-4b48-88c3-c7db6dc2a92a.binning_data.json,2020-04-15 10:47:01.465,2020-04-15 10:47:01.465,com.sec.android.app.shealth,-2,3975,1.3246926,2965.499,147.34,VfS0qUERdZ,com.sec.android.app.shealth,d800ff5f-725b-4b48-88c3-c7db6dc2a92a,1586390400000,
1bf8b902-45ec-4d67-bdb1-4dc416da6a29.binning_data.json,2020-04-15 10:47:24.001,2020-04-15 10:47:02.407,com.sec.android.app.shealth,23,6213,3.3055556,4647.19,226.02,ltHsc2Rtmp,com.sec.android.app.shealth,1bf8b902-45ec-4d67-bdb1-4dc416da6a29,1586217600000,
0cae64d2-25a0-430f-b4ab-c24e0366499c.binning_data.json,2020-04-15 10:47:01.643,2020-04-15 10:47:01.643,com.sec.android.app.shealth,-2,9715,1.3180786,7246.526,339.77,VfS0qUERdZ,com.sec.android.app.shealth,0cae64d2-25a0-430f-b4ab-c24e0366499c,1586476800000,
865739d6-4621-4cee-9563-554d01cdc93d.binning_data.json,2020-04-15 18:35:15.295,2020-04-15 10:47:02.437,com.sec.android.app.shealth,-2,5986,1.1460525,4202.998,276.29,VfS0qUERdZ,com.sec.android.app.shealth,865739d6-4621-4cee-9563-554d01cdc93d,1586908800000,
acc81734-6ffc-4a6e-a8bf-88d5db4d302a.binning_data.json,2020-04-15 10:47:02.375,2020-04-15 10:47:02.375,com.sec.android.app.shealth,-2,7900,1.2873621,5841.338,279.85,VfS0qUERdZ,com.sec.android.app.shealth,acc81734-6ffc-4a6e-a8bf-88d5db4d302a,1586736000000,
d5289e7b-a816-4179-98e7-b918251ca83b.binning_data.json,2020-04-15 10:47:01.937,2020-04-15 10:47:01.937,com.sec.android.app.shealth,-2,9120,1.276211,6703.161,325.68,VfS0qUERdZ,com.sec.android.app.shealth,d5289e7b-a816-4179-98e7-b918251ca83b,1586649600000,
01de7db9-84d7-4c85-840c-7e446f746883.binning_data.json,2020-04-15 10:47:02.396,2020-04-15 10:47:02.396,com.sec.android.app.shealth,-2,3848,1.340166,2906.493,142.24,VfS0qUERdZ,com.sec.android.app.shealth,01de7db9-84d7-4c85-840c-7e446f746883,1586822400000,
