com.samsung.shealth.tracker.pedometer_day_summary,6156001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
6213,e397741b-b65f-419f-8f06-f61f93d5f99c.binning_data.json,3529236,6000,56,2020-04-15 10:47:24.169,com.sec.android.app.shealth,2020-04-15 10:47:01.432,e397741b-b65f-419f-8f06-f61f93d5f99c.source_info.json,1.3167691,4647.19,226.02,6157,VfS0qUERdZ,com.sec.android.app.shealth,0,e397741b-b65f-419f-8f06-f61f93d5f99c.achievement.json,e397741b-b65f-419f-8f06-f61f93d5f99c,1586217600000,
3975,48683bc5-8659-4b38-86ad-10bc540e3e7d.binning_data.json,2238631,6000,58,2020-04-15 10:47:01.406,com.sec.android.app.shealth,2020-04-15 10:47:01.406,48683bc5-8659-4b38-86ad-10bc540e3e7d.source_info.json,1.3246926,2965.499,147.34,3917,VfS0qUERdZ,com.sec.android.app.shealth,0,48683bc5-8659-4b38-86ad-10bc540e3e7d.achievement.json,48683bc5-8659-4b38-86ad-10bc540e3e7d,1586390400000,
7900,a1319301-d4e6-49c3-8878-d2e979d7117e.binning_data.json,4537447,6000,22,2020-04-15 10:47:01.973,com.sec.android.app.shealth,2020-04-15 10:47:01.973,a1319301-d4e6-49c3-8878-d2e979d7117e.source_info.json,1.2873621,5841.338,279.85,7878,VfS0qUERdZ,com.sec.android.app.shealth,0,a1319301-d4e6-49c3-8878-d2e979d7117e.achievement.json,a1319301-d4e6-49c3-8878-d2e979d7117e,1586736000000,
3265,72e0a969-cc2f-46ef-8c8d-41926091914f.binning_data.json,1818700,6000,69,2020-04-15 10:47:01.456,com.sec.android.app.shealth,2020-04-15 10:47:01.456,72e0a969-cc2f-46ef-8c8d-41926091914f.source_info.json,1.3179083,2396.88,123.23,3196,VfS0qUERdZ,com.sec.android.app.shealth,0,72e0a969-cc2f-46ef-8c8d-41926091914f.achievement.json,72e0a969-cc2f-46ef-8c8d-41926091914f,1586304000000,
3975,b0b1e07d-5b50-4b2d-b5de-d9e5f73cdbdd.binning_data.json,2238315,6000,58,2020-04-15 10:47:02.512,com.sec.android.app.shealth,2020-04-15 10:47:02.512,,3.9104278,2965.499,147.34,3917,ltHsc2Rtmp,com.sec.android.app.shealth,0,b0b1e07d-5b50-4b2d-b5de-d9e5f73cdbdd.achievement.json,b0b1e07d-5b50-4b2d-b5de-d9e5f73cdbdd,1586390400000,
3848,0926c208-335b-4c53-a551-944e779b5fc0.binning_data.json,2168755,6000,54,2020-04-15 10:47:01.998,com.sec.android.app.shealth,2020-04-15 10:47:01.998,0926c208-335b-4c53-a551-944e779b5fc0.source_info.json,1.340166,2906.493,142.24,3794,VfS0qUERdZ,com.sec.android.app.shealth,0,0926c208-335b-4c53-a551-944e779b5fc0.achievement.json,0926c208-335b-4c53-a551-944e779b5fc0,1586822400000,
5986,0d15275e-1048-4767-b4af-d4623eb9d26d.binning_data.json,3667369,6000,82,2020-04-15 18:35:15.231,com.sec.android.app.shealth,2020-04-15 10:47:02.013,0d15275e-1048-4767-b4af-d4623eb9d26d.source_info.json,1.1460525,4202.998,276.29,5904,VfS0qUERdZ,com.sec.android.app.shealth,0,0d15275e-1048-4767-b4af-d4623eb9d26d.achievement.json,0d15275e-1048-4767-b4af-d4623eb9d26d,1586908800000,
9120,9365ea93-df3b-43f7-8090-1205b99b3a86.binning_data.json,5251707,6000,40,2020-04-15 10:47:02.808,com.sec.android.app.shealth,2020-04-15 10:47:02.808,,6.888889,6703.161,325.68,9080,ltHsc2Rtmp,com.sec.android.app.shealth,0,9365ea93-df3b-43f7-8090-1205b99b3a86.achievement.json,9365ea93-df3b-43f7-8090-1205b99b3a86,1586649600000,
980,9337b00e-edb3-4b51-add7-380f8e027179.binning_data.json,564075,6000,9,2020-04-15 10:47:23.339,com.sec.android.app.shealth,2020-04-15 10:47:23.339,,2.1666667,726.07,35.63,971,ltHsc2Rtmp,com.sec.android.app.shealth,0,9337b00e-edb3-4b51-add7-380f8e027179.achievement.json,9337b00e-edb3-4b51-add7-380f8e027179,1585008000000,
3848,f6749a38-5af2-4499-9229-95a0302be91f.binning_data.json,2168682,6000,54,2020-04-15 10:47:02.851,com.sec.android.app.shealth,2020-04-15 10:47:02.851,,3.4191864,2906.493,142.24,3794,ltHsc2Rtmp,com.sec.android.app.shealth,0,f6749a38-5af2-4499-9229-95a0302be91f.achievement.json,f6749a38-5af2-4499-9229-95a0302be91f,1586822400000,
