com.samsung.shealth.tracker.pedometer_step_count,6156001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
11307,4,1,23,2021-02-11 00:44:00.000,230002,,2021-02-11 00:55:02.102,2021-02-11 00:55:02.101,24,1.8333334,20.73,1.12,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 00:44:59.999,d6674240-db08-c035-ffbe-9753dd44fd69,
9354,4,1,20,2021-02-11 05:26:00.000,230002,,2021-02-11 05:26:58.322,2021-02-11 05:26:58.322,21,1.7777778,16.63,1.05,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 05:26:59.999,58925853-1516-9d7b-5dac-9d3e6e0b0445,
24300,4,0,22,2021-02-11 05:34:00.000,,,2021-02-11 05:35:01.544,2021-02-11 05:35:01.544,64,1.4444444,35.1,2.17,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 05:35:00.000,8fe7e15c-b1e0-4a4a-a49a-7e7f34e25463,
26438,4,0,71,2021-02-11 05:34:00.000,230002,,2021-02-11 05:34:59.305,2021-02-11 05:34:59.298,71,1.6388888,43.33,2.47,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 05:34:59.999,62366969-9784-4abb-c1e6-a1871219e23a,
5484,4,0,12,2021-02-11 04:13:00.000,230002,,2021-02-11 04:15:02.119,2021-02-11 04:15:02.118,12,1.6666666,9.14,0.56,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 04:13:59.999,e1a0fdff-baf8-2160-f0a1-69b1eebd9dd4,
22478,4,0,43,2021-02-11 05:27:00.000,230002,,2021-02-11 05:28:36.425,2021-02-11 05:27:18.218,43,1.4627143,32.88,1.4,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 05:27:59.999,f57259b8-b773-a8f5-8d1d-94dac9ce79b6,
52732,4,0,93,2021-02-11 05:44:00.000,,,2021-02-11 05:50:01.103,2021-02-11 05:50:01.103,93,1.3333334,70.31,3.65,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 05:45:00.000,cf6ba5ee-848b-4175-8b69-94f4dac1fb89,
9290,4,0,20,2021-02-11 05:35:00.000,230002,,2021-02-11 05:35:45.323,2021-02-11 05:35:45.323,20,1.7222222,16.0,0.66,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 05:35:59.999,7f2909b2-766c-a4b6-7632-d52a863be1b9,
4601,4,0,10,2021-02-11 04:15:00.000,230002,,2021-02-11 04:17:40.181,2021-02-11 04:17:40.181,10,1.9166666,8.82,0.46,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 04:15:59.999,cf494815-062d-b347-baf5-34430119760c,
11259,4,0,20,2021-02-11 04:16:00.000,230002,,2021-02-11 04:17:40.191,2021-02-11 04:17:40.191,20,1.3055556,14.7,0.74,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 04:16:59.999,867e044e-43bb-ff2c-d503-64fb711cd53c,
6745,4,0,13,2021-02-11 05:29:00.000,230002,,2021-02-11 05:29:49.338,2021-02-11 05:29:48.575,13,1.4334853,9.67,0.51,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 05:29:59.999,c63d2867-4456-1fb1-2266-43ae0198d566,
5287,4,0,11,2021-02-11 05:21:00.000,230002,,2021-02-11 05:24:50.840,2021-02-11 05:24:50.839,11,1.6944444,8.96,0.37,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 05:21:59.999,4c006d74-989f-307e-cee7-767aa1017e8d,
7385,4,0,10,2021-02-11 05:31:00.000,230002,,2021-02-11 05:32:00.318,2021-02-11 05:32:00.317,10,0.9166667,6.77,0.39,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 05:31:59.999,aa3559dc-3a53-8163-2764-5458ebe0a1ad,
16412,4,0,27,2021-02-11 05:47:00.000,,,2021-02-11 05:50:01.336,2021-02-11 05:50:01.336,27,1.2222222,20.06,0.97,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 05:48:00.000,627b20a3-ea8c-482c-a077-4d84ab22a8fc,
